producer_cpu,consumer_cpu,producer_socket,consumer_socket,producer_core,consumer_core,producer_smt,consumer_smt,width,round,pinned,throughput_mps
2,0,0,0,2,0,0,0,6,4,1,711.3
2,0,0,0,2,0,0,0,7,0,1,712.479
2,0,0,0,2,0,0,0,7,1,1,721.375
2,0,0,0,2,0,0,0,7,2,1,747.665
2,0,0,0,2,0,0,0,7,3,1,713.521
2,0,0,0,2,0,0,0,7,4,1,703.833
2,0,0,0,2,0,0,0,8,0,1,871.362
2,0,0,0,2,0,0,0,8,1,1,908.623
2,0,0,0,2,0,0,0,8,2,1,884.186
2,0,0,0,2,0,0,0,8,3,1,908.065
2,0,0,0,2,0,0,0,8,4,1,898.279
2,1,0,0,2,1,0,0,0,0,1,298.781
2,1,0,0,2,1,0,0,0,1,1,297.142
2,1,0,0,2,1,0,0,0,2,1,298.284
2,1,0,0,2,1,0,0,0,3,1,297.374
2,1,0,0,2,1,0,0,0,4,1,297.975
2,1,0,0,2,1,0,0,1,0,1,286.791
2,1,0,0,2,1,0,0,1,1,1,296.854
2,1,0,0,2,1,0,0,1,2,1,299.348
2,1,0,0,2,1,0,0,1,3,1,298.831
2,1,0,0,2,1,0,0,1,4,1,301.398
2,1,0,0,2,1,0,0,2,0,1,351.047
2,1,0,0,2,1,0,0,2,1,1,352.703
2,1,0,0,2,1,0,0,2,2,1,351.403
2,1,0,0,2,1,0,0,2,3,1,349.26
2,1,0,0,2,1,0,0,2,4,1,346.029
2,1,0,0,2,1,0,0,3,0,1,484.433
2,1,0,0,2,1,0,0,3,1,1,489.002
2,1,0,0,2,1,0,0,3,2,1,486.947
2,1,0,0,2,1,0,0,3,3,1,485.593
2,1,0,0,2,1,0,0,3,4,1,491.131
2,1,0,0,2,1,0,0,4,0,1,777.782
2,1,0,0,2,1,0,0,4,1,1,792.317
2,1,0,0,2,1,0,0,4,2,1,789.867
2,1,0,0,2,1,0,0,4,3,1,775.117
2,1,0,0,2,1,0,0,4,4,1,792.111
2,1,0,0,2,1,0,0,5,0,1,690.127
2,1,0,0,2,1,0,0,5,1,1,697.148
2,1,0,0,2,1,0,0,5,2,1,694.549
2,1,0,0,2,1,0,0,5,3,1,688.799
2,1,0,0,2,1,0,0,5,4,1,698.662
2,1,0,0,2,1,0,0,6,0,1,734.141
2,1,0,0,2,1,0,0,6,1,1,728.39
2,1,0,0,2,1,0,0,6,2,1,715.044
2,1,0,0,2,1,0,0,6,3,1,720.739
2,1,0,0,2,1,0,0,6,4,1,736.451
2,1,0,0,2,1,0,0,7,0,1,750.8
2,1,0,0,2,1,0,0,7,1,1,741.026
2,1,0,0,2,1,0,0,7,2,1,712.833
2,1,0,0,2,1,0,0,7,3,1,744.49
2,1,0,0,2,1,0,0,7,4,1,747.202
2,1,0,0,2,1,0,0,8,0,1,905.687
2,1,0,0,2,1,0,0,8,1,1,904.483
2,1,0,0,2,1,0,0,8,2,1,874.547
2,1,0,0,2,1,0,0,8,3,1,911.12
2,1,0,0,2,1,0,0,8,4,1,908.565
2,3,0,0,2,3,0,0,0,0,1,296.888
2,3,0,0,2,3,0,0,0,1,1,298.018
2,3,0,0,2,3,0,0,0,2,1,300.925
2,3,0,0,2,3,0,0,0,3,1,300.499
2,3,0,0,2,3,0,0,0,4,1,299.47
2,3,0,0,2,3,0,0,1,0,1,297.985
2,3,0,0,2,3,0,0,1,1,1,299.338
2,3,0,0,2,3,0,0,1,2,1,290.489
2,3,0,0,2,3,0,0,1,3,1,287.706
2,3,0,0,2,3,0,0,1,4,1,298.669
2,3,0,0,2,3,0,0,2,0,1,353.43
2,3,0,0,2,3,0,0,2,1,1,352.477
2,3,0,0,2,3,0,0,2,2,1,351.62
2,3,0,0,2,3,0,0,2,3,1,353.898
2,3,0,0,2,3,0,0,2,4,1,351.194
2,3,0,0,2,3,0,0,3,0,1,494.274
2,3,0,0,2,3,0,0,3,1,1,493.17
2,3,0,0,2,3,0,0,3,2,1,485.551
2,3,0,0,2,3,0,0,3,3,1,489.951
2,3,0,0,2,3,0,0,3,4,1,485.319
2,3,0,0,2,3,0,0,4,0,1,792.809
2,3,0,0,2,3,0,0,4,1,1,798.373
2,3,0,0,2,3,0,0,4,2,1,788.859
2,3,0,0,2,3,0,0,4,3,1,795.512
2,3,0,0,2,3,0,0,4,4,1,779.057
2,3,0,0,2,3,0,0,5,0,1,693.904
2,3,0,0,2,3,0,0,5,1,1,699.276
2,3,0,0,2,3,0,0,5,2,1,703.003
2,3,0,0,2,3,0,0,5,3,1,701.919
2,3,0,0,2,3,0,0,5,4,1,686.337
2,3,0,0,2,3,0,0,6,0,1,736.63
2,3,0,0,2,3,0,0,6,1,1,727.212
2,3,0,0,2,3,0,0,6,2,1,737.11
2,3,0,0,2,3,0,0,6,3,1,715.093
2,3,0,0,2,3,0,0,6,4,1,715.2
2,3,0,0,2,3,0,0,7,0,1,734.734
2,3,0,0,2,3,0,0,7,1,1,733.241
2,3,0,0,2,3,0,0,7,2,1,735.507
2,3,0,0,2,3,0,0,7,3,1,736.21
2,3,0,0,2,3,0,0,7,4,1,735.21
2,3,0,0,2,3,0,0,8,0,1,906.09
2,3,0,0,2,3,0,0,8,1,1,925.266
2,3,0,0,2,3,0,0,8,2,1,919.502
2,3,0,0,2,3,0,0,8,3,1,931.722
2,3,0,0,2,3,0,0,8,4,1,898.45
3,0,0,0,3,0,0,0,0,0,1,299.909
3,0,0,0,3,0,0,0,0,1,1,300.869
3,0,0,0,3,0,0,0,0,2,1,299.131
3,0,0,0,3,0,0,0,0,3,1,299.302
3,0,0,0,3,0,0,0,0,4,1,299.768
3,0,0,0,3,0,0,0,1,0,1,298.505
3,0,0,0,3,0,0,0,1,1,1,300.316
3,0,0,0,3,0,0,0,1,2,1,298.43
3,0,0,0,3,0,0,0,1,3,1,296.949
3,0,0,0,3,0,0,0,1,4,1,300.095
3,0,0,0,3,0,0,0,2,0,1,354.168
3,0,0,0,3,0,0,0,2,1,1,351.764
3,0,0,0,3,0,0,0,2,2,1,353.838
3,0,0,0,3,0,0,0,2,3,1,355.086
3,0,0,0,3,0,0,0,2,4,1,352.335
3,0,0,0,3,0,0,0,3,0,1,487.999
3,0,0,0,3,0,0,0,3,1,1,492.78
3,0,0,0,3,0,0,0,3,2,1,490.461
3,0,0,0,3,0,0,0,3,3,1,486.489
3,0,0,0,3,0,0,0,3,4,1,489.962
3,0,0,0,3,0,0,0,4,0,1,785.623
3,0,0,0,3,0,0,0,4,1,1,794.924
3,0,0,0,3,0,0,0,4,2,1,778.683
3,0,0,0,3,0,0,0,4,3,1,777.468
3,0,0,0,3,0,0,0,4,4,1,801.656
3,0,0,0,3,0,0,0,5,0,1,702.939
3,0,0,0,3,0,0,0,5,1,1,703.583
3,0,0,0,3,0,0,0,5,2,1,696.354
3,0,0,0,3,0,0,0,5,3,1,704.258
3,0,0,0,3,0,0,0,5,4,1,699.006
3,0,0,0,3,0,0,0,6,0,1,716.161
3,0,0,0,3,0,0,0,6,1,1,737.196
3,0,0,0,3,0,0,0,6,2,1,727.508
3,0,0,0,3,0,0,0,6,3,1,725.63
3,0,0,0,3,0,0,0,6,4,1,738.659
3,0,0,0,3,0,0,0,7,0,1,764.736
3,0,0,0,3,0,0,0,7,1,1,747.575
3,0,0,0,3,0,0,0,7,2,1,740.985
3,0,0,0,3,0,0,0,7,3,1,741.25
3,0,0,0,3,0,0,0,7,4,1,761.939
3,0,0,0,3,0,0,0,8,0,1,906.866
3,0,0,0,3,0,0,0,8,1,1,892.612
3,0,0,0,3,0,0,0,8,2,1,881.783
3,0,0,0,3,0,0,0,8,3,1,874.448
3,0,0,0,3,0,0,0,8,4,1,915.461
3,1,0,0,3,1,0,0,0,0,1,298.359
3,1,0,0,3,1,0,0,0,1,1,298.427
3,1,0,0,3,1,0,0,0,2,1,297.823
3,1,0,0,3,1,0,0,0,3,1,297.813
3,1,0,0,3,1,0,0,0,4,1,297.266
3,1,0,0,3,1,0,0,1,0,1,298.571
3,1,0,0,3,1,0,0,1,1,1,297.38
3,1,0,0,3,1,0,0,1,2,1,297.741
3,1,0,0,3,1,0,0,1,3,1,299.574
3,1,0,0,3,1,0,0,1,4,1,299.627
3,1,0,0,3,1,0,0,2,0,1,350.321
3,1,0,0,3,1,0,0,2,1,1,346.084
3,1,0,0,3,1,0,0,2,2,1,351.484
3,1,0,0,3,1,0,0,2,3,1,350.187
3,1,0,0,3,1,0,0,2,4,1,349.702
3,1,0,0,3,1,0,0,3,0,1,489.109
3,1,0,0,3,1,0,0,3,1,1,483.445
3,1,0,0,3,1,0,0,3,2,1,485.812
3,1,0,0,3,1,0,0,3,3,1,487.252
3,1,0,0,3,1,0,0,3,4,1,488.331
3,1,0,0,3,1,0,0,4,0,1,775.967
3,1,0,0,3,1,0,0,4,1,1,789.575
3,1,0,0,3,1,0,0,4,2,1,792.122
3,1,0,0,3,1,0,0,4,3,1,784.423
3,1,0,0,3,1,0,0,4,4,1,767.554
3,1,0,0,3,1,0,0,5,0,1,690.447
3,1,0,0,3,1,0,0,5,1,1,699.722
3,1,0,0,3,1,0,0,5,2,1,685.454
3,1,0,0,3,1,0,0,5,3,1,683.227
