producer_cpu,consumer_cpu,producer_socket,consumer_socket,producer_core,consumer_core,producer_smt,consumer_smt,width,round,pinned,throughput_mps,effective_transfers,calibration_millis
1,12,0,1,1,4,0,0,0,0,1,71.9388920077,16999920,4.239628
1,12,0,1,1,4,0,0,0,1,1,79.4632915587,16999920,4.239628
1,12,0,1,1,4,0,0,0,2,1,58.3723923161,16999920,4.239628
1,12,0,1,1,4,0,0,0,3,1,121.098777404,16999920,4.239628
1,12,0,1,1,4,0,0,0,4,1,74.1974778308,16999920,4.239628
1,13,0,1,1,5,0,0,0,0,1,100.915977783,16585800,4.345509
1,13,0,1,1,5,0,0,0,1,1,85.8655991993,16585800,4.345509
1,13,0,1,1,5,0,0,0,2,1,73.7069395587,16585800,4.345509
1,13,0,1,1,5,0,0,0,3,1,71.0710598287,16585800,4.345509
1,13,0,1,1,5,0,0,0,4,1,75.6338673097,16585800,4.345509
1,14,0,1,1,6,0,0,0,0,1,67.6538415059,17220000,4.185469
1,14,0,1,1,6,0,0,0,1,1,101.231176865,17220000,4.185469
1,14,0,1,1,6,0,0,0,2,1,103.724268031,17220000,4.185469
1,14,0,1,1,6,0,0,0,3,1,80.2506770172,17220000,4.185469
1,14,0,1,1,6,0,0,0,4,1,95.6334637906,17220000,4.185469
1,15,0,1,1,7,0,0,0,0,1,78.0252279298,6044640,11.924373
1,15,0,1,1,7,0,0,0,1,1,86.712320661,6044640,11.924373
1,15,0,1,1,7,0,0,0,2,1,97.9340041038,6044640,11.924373
1,15,0,1,1,7,0,0,0,3,1,63.218420257,6044640,11.924373
1,15,0,1,1,7,0,0,0,4,1,93.2379229685,6044640,11.924373
1,16,0,0,1,0,0,0,0,0,1,357.802498002,27310080,2.639044
1,16,0,0,1,0,0,0,0,1,1,355.717771299,27310080,2.639044
1,16,0,0,1,0,0,0,0,2,1,325.248550618,27310080,2.639044
1,16,0,0,1,0,0,0,0,3,1,358.748965759,27310080,2.639044
1,16,0,0,1,0,0,0,0,4,1,362.553699708,27310080,2.639044
1,17,0,0,1,1,0,0,0,0,1,272.953880866,26656560,2.703764
1,17,0,0,1,1,0,0,0,1,1,276.178646822,26656560,2.703764
1,17,0,0,1,1,0,0,0,2,1,277.440782037,26656560,2.703764
1,17,0,0,1,1,0,0,0,3,1,273.842453864,26656560,2.703764
1,17,0,0,1,1,0,0,0,4,1,278.256470478,26656560,2.703764
1,18,0,0,1,2,0,0,0,0,1,293.64009401,35706720,2.018458
1,18,0,0,1,2,0,0,0,1,1,356.858755232,35706720,2.018458
1,18,0,0,1,2,0,0,0,2,1,324.428310439,35706720,2.018458
1,18,0,0,1,2,0,0,0,3,1,340.423042562,35706720,2.018458
1,18,0,0,1,2,0,0,0,4,1,335.723122409,35706720,2.018458
1,19,0,0,1,3,0,0,0,0,1,285.781772523,26895960,2.679665
1,19,0,0,1,3,0,0,0,1,1,283.632789269,26895960,2.679665
1,19,0,0,1,3,0,0,0,2,1,286.207466521,26895960,2.679665
1,19,0,0,1,3,0,0,0,3,1,285.365947518,26895960,2.679665
1,19,0,0,1,3,0,0,0,4,1,284.962305108,26895960,2.679665
1,20,0,0,1,4,0,0,0,0,1,327.043818447,33314400,2.163397
1,20,0,0,1,4,0,0,0,1,1,311.018553742,33314400,2.163397
1,20,0,0,1,4,0,0,0,2,1,335.470410136,33314400,2.163397
1,20,0,0,1,4,0,0,0,3,1,350.582610074,33314400,2.163397
1,20,0,0,1,4,0,0,0,4,1,355.818353803,33314400,2.163397
1,21,0,0,1,5,0,0,0,0,1,334.576160986,32440800,2.221671
1,21,0,0,1,5,0,0,0,1,1,315.368363232,32440800,2.221671
1,21,0,0,1,5,0,0,0,2,1,368.178219649,32440800,2.221671
1,21,0,0,1,5,0,0,0,3,1,362.302946232,32440800,2.221671
1,21,0,0,1,5,0,0,0,4,1,329.434093608,32440800,2.221671
1,22,0,0,1,6,0,0,0,0,1,362.488138097,33199320,2.170907
1,22,0,0,1,6,0,0,0,1,1,345.282469674,33199320,2.170907
1,22,0,0,1,6,0,0,0,2,1,374.915604148,33199320,2.170907
1,22,0,0,1,6,0,0,0,3,1,373.842535312,33199320,2.170907
1,22,0,0,1,6,0,0,0,4,1,349.834655483,33199320,2.170907
1,23,0,0,1,7,0,0,0,0,1,362.130714766,34235040,2.10522
1,23,0,0,1,7,0,0,0,1,1,358.876151529,34235040,2.10522
1,23,0,0,1,7,0,0,0,2,1,298.544643002,34235040,2.10522
1,23,0,0,1,7,0,0,0,3,1,358.396371833,34235040,2.10522
1,23,0,0,1,7,0,0,0,4,1,343.381092688,34235040,2.10522
1,24,0,1,1,0,0,0,0,0,1,112.480711658,11345040,6.353094
1,24,0,1,1,0,0,0,0,1,1,119.873506583,11345040,6.353094
1,24,0,1,1,0,0,0,0,2,1,139.923088576,11345040,6.353094
1,24,0,1,1,0,0,0,0,3,1,86.5400055491,11345040,6.353094
1,24,0,1,1,0,0,0,0,4,1,131.976883315,11345040,6.353094
1,25,0,1,1,1,0,0,0,0,1,131.87198533,13272000,5.430667
1,25,0,1,1,1,0,0,0,1,1,109.201238605,13272000,5.430667
1,25,0,1,1,1,0,0,0,2,1,109.559975456,13272000,5.430667
1,25,0,1,1,1,0,0,0,3,1,146.879211835,13272000,5.430667
1,25,0,1,1,1,0,0,0,4,1,94.0884840658,13272000,5.430667
1,26,0,1,1,2,0,0,0,0,1,87.4840330235,16700040,4.315851
1,26,0,1,1,2,0,0,0,1,1,151.270645925,16700040,4.315851
1,26,0,1,1,2,0,0,0,2,1,156.174598593,16700040,4.315851
1,26,0,1,1,2,0,0,0,3,1,93.5499434699,16700040,4.315851
1,26,0,1,1,2,0,0,0,4,1,86.4464430343,16700040,4.315851
1,27,0,1,1,3,0,0,0,0,1,111.451086584,15357720,4.693026
1,27,0,1,1,3,0,0,0,1,1,129.309832015,15357720,4.693026
1,27,0,1,1,3,0,0,0,2,1,114.031915723,15357720,4.693026
1,27,0,1,1,3,0,0,0,3,1,130.351519507,15357720,4.693026
1,27,0,1,1,3,0,0,0,4,1,134.794611502,15357720,4.693026
1,28,0,1,1,4,0,0,0,0,1,85.675883875,11725560,6.146859
1,28,0,1,1,4,0,0,0,1,1,119.996697767,11725560,6.146859
1,28,0,1,1,4,0,0,0,2,1,122.817196188,11725560,6.146859
1,28,0,1,1,4,0,0,0,3,1,91.7626343854,11725560,6.146859
1,28,0,1,1,4,0,0,0,4,1,126.76781163,11725560,6.146859
1,29,0,1,1,5,0,0,0,0,1,96.6830653735,19803000,3.639522
1,29,0,1,1,5,0,0,0,1,1,95.7617506832,19803000,3.639522
1,29,0,1,1,5,0,0,0,2,1,79.0459623751,19803000,3.639522
1,29,0,1,1,5,0,0,0,3,1,82.606733976,19803000,3.639522
1,29,0,1,1,5,0,0,0,4,1,139.605926372,19803000,3.639522
1,30,0,1,1,6,0,0,0,0,1,92.9400946168,18999960,3.7933
1,30,0,1,1,6,0,0,0,1,1,134.757577346,18999960,3.7933
1,30,0,1,1,6,0,0,0,2,1,120.029329418,18999960,3.7933
1,30,0,1,1,6,0,0,0,3,1,107.558940683,18999960,3.7933
1,30,0,1,1,6,0,0,0,4,1,143.975392341,18999960,3.7933
1,31,0,1,1,7,0,0,0,0,1,88.1307619517,19322520,3.729954
